invoice_number,item_code,item_desc,unit_price,quantity,category,line_amount,datetime
20240801000001,1008,Nestle cornflakes 500g,9.75,2,food,19.5,2024-08-01 15:19:31
20240801000001,1005,Maggi 2 minute noodles 70g,1.5,3,food,4.5,2024-08-01 15:19:31
20240801000002,1005,Maggi 2 minute noodles 70g,1.5,3,food,4.5,2024-08-01 14:10:06
20240801000002,1008,Nestle cornflakes 500g,9.75,1,food,9.75,2024-08-01 14:10:06
20240801000002,1000,Colgate toothpaste 500g,3.85,2,toilet,7.7,2024-08-01 14:10:06
20240801000003,1002,Peanut butter 500g,8.8,1,food,8.8,2024-08-01 12:59:57
20240801000003,1007,Milo 400g,12.5,2,beverages,25.0,2024-08-01 12:59:57
20240801000004,1001,Pilot G2 07 Black Fine Retractable Gel Ink Pen,7.0,2,stationary,14.0,2024-08-01 11:30:33
20240801000005,1007,Milo 400g,12.5,3,beverages,37.5,2024-08-01 15:05:10
20240801000005,1002,Peanut butter 500g,8.8,3,food,26.4,2024-08-01 15:05:10
20240802000006,1005,Maggi 2 minute noodles 70g,1.5,3,food,4.5,2024-08-02 16:28:57
20240802000006,1003,Dove bar soap 100g,2.5,2,bath,5.0,2024-08-02 16:28:57
20240802000006,1006,Sunlight dishwashing liquid 1L,6.2,2,cleaning,12.4,2024-08-02 16:28:57
20240803000007,1001,Pilot G2 07 Black Fine Retractable Gel Ink Pen,7.0,3,stationary,21.0,2024-08-03 11:42:26
20240803000008,1009,Dettol handwash 200ml,4.5,2,cleaning,9.0,2024-08-03 13:39:15
20240805000009,1005,Maggi 2 minute noodles 70g,1.5,3,food,4.5,2024-08-05 11:40:53
20240805000009,1003,Dove bar soap 100g,2.5,3,bath,7.5,2024-08-05 11:40:53
20240806000010,1003,Dove bar soap 100g,2.5,3,bath,7.5,2024-08-06 10:51:25
20240806000010,1009,Dettol handwash 200ml,4.5,3,cleaning,13.5,2024-08-06 10:51:25
20240806000011,1008,Nestle cornflakes 500g,9.75,3,food,29.25,2024-08-06 12:15:51
20240806000012,1008,Nestle cornflakes 500g,9.75,3,food,29.25,2024-08-06 17:28:05
20240807000013,1003,Dove bar soap 100g,2.5,1,bath,2.5,2024-08-07 16:13:59
20240807000014,1001,Pilot G2 07 Black Fine Retractable Gel Ink Pen,7.0,1,stationary,7.0,2024-08-07 14:11:18
20240807000014,1002,Peanut butter 500g,8.8,3,food,26.4,2024-08-07 14:11:18
20240807000014,1000,Colgate toothpaste 500g,3.85,3,toilet,11.55,2024-08-07 14:11:18
20240808000015,1007,Milo 400g,12.5,1,beverages,12.5,2024-08-08 14:27:54
20240808000015,1009,Dettol handwash 200ml,4.5,1,cleaning,4.5,2024-08-08 14:27:54
20240808000016,1004,Shampoo 200ml,5.75,3,haircare,17.25,2024-08-08 16:38:39
20240808000017,1001,Pilot G2 07 Black Fine Retractable Gel Ink Pen,7.0,3,stationary,21.0,2024-08-08 11:03:21
20240808000018,1001,Pilot G2 07 Black Fine Retractable Gel Ink Pen,7.0,1,stationary,7.0,2024-08-08 11:15:41
20240808000018,1003,Dove bar soap 100g,2.5,3,bath,7.5,2024-08-08 11:15:41
20240808000019,1007,Milo 400g,12.5,3,beverages,37.5,2024-08-08 12:47:51
20240808000019,1001,Pilot G2 07 Black Fine Retractable Gel Ink Pen,7.0,3,stationary,21.0,2024-08-08 12:47:51
20240808000019,1006,Sunlight dishwashing liquid 1L,6.2,3,cleaning,18.6,2024-08-08 12:47:51
20240809000020,1000,Colgate toothpaste 500g,3.85,3,toilet,11.55,2024-08-09 17:40:42
20240809000021,1005,Maggi 2 minute noodles 70g,1.5,3,food,4.5,2024-08-09 15:17:06
20240809000021,1002,Peanut butter 500g,8.8,2,food,17.6,2024-08-09 15:17:06
20240809000021,1008,Nestle cornflakes 500g,9.75,3,food,29.25,2024-08-09 15:17:06
20240809000022,1000,Colgate toothpaste 500g,3.85,3,toilet,11.55,2024-08-09 15:09:00
20240809000022,1003,Dove bar soap 100g,2.5,1,bath,2.5,2024-08-09 15:09:00
20240809000023,1009,Dettol handwash 200ml,4.5,2,cleaning,9.0,2024-08-09 15:37:46
20240809000023,1006,Sunlight dishwashing liquid 1L,6.2,1,cleaning,6.2,2024-08-09 15:37:46
20240809000023,1005,Maggi 2 minute noodles 70g,1.5,1,food,1.5,2024-08-09 15:37:46
20240809000024,1000,Colgate toothpaste 500g,3.85,1,toilet,3.85,2024-08-09 14:02:38
20240809000024,1006,Sunlight dishwashing liquid 1L,6.2,1,cleaning,6.2,2024-08-09 14:02:38
20240810000025,1006,Sunlight dishwashing liquid 1L,6.2,3,cleaning,18.6,2024-08-10 15:22:07
20240810000025,1001,Pilot G2 07 Black Fine Retractable Gel Ink Pen,7.0,1,stationary,7.0,2024-08-10 15:22:07
20240810000025,1005,Maggi 2 minute noodles 70g,1.5,3,food,4.5,2024-08-10 15:22:07
20240810000026,1000,Colgate toothpaste 500g,3.85,1,toilet,3.85,2024-08-10 16:03:37
20240810000026,1002,Peanut butter 500g,8.8,1,food,8.8,2024-08-10 16:03:37
